[2026-06-18 13:46:19] $0.00315 (proxy-deepseek-chat-v3-0324/deepseek-chat-v3-0324: 2484↑ 954↓)
[2026-06-19 07:06:09] $0.00892 (proxy-gemini-2.5-pro/gemini-2.5-pro: 3152↑ 3673↓)
[2026-06-19 07:07:18] $0.00879 (proxy-gemini-2.5-pro/gemini-2.5-pro: 3147↑ 3609↓)
[2026-06-19 07:52:02] $0.00434 (proxy-gpt-4o/gpt-4o: 4216↑ 1117↓)
[2026-06-19 08:06:00] $0.00814 (proxy-deepseek-v3.2/deepseek-v3.2: 4503↑ 2942↓)
[2026-06-19 14:58:51] $0.01045 (proxy-deepseek-v3.2/deepseek-v3.2: 5401↑ 3876↓)
[2026-06-20 02:57:26] $0.01103 (proxy-deepseek-v3.2/deepseek-v3.2: 6058↑ 4000↓)
[2026-06-20 13:55:10] $0.00938 (proxy-deepseek-v3.2/deepseek-v3.2: 6202↑ 3142↓)
[2026-06-21 03:44:44] $0.00944 (proxy-deepseek-v3.2/deepseek-v3.2: 5776↑ 3276↓)
[2026-06-21 14:02:57] $0.01133 (proxy-deepseek-v3.2/deepseek-v3.2: 6655↑ 4000↓)
[2026-06-21 14:03:37] $0.00471 (proxy-deepseek-v3.2/deepseek-v3.2: 2509↑ 1728↓)
[2026-06-22 03:49:27] $0.00864 (proxy-deepseek-v3.2/deepseek-v3.2: 5907↑ 2841↓)
[2026-06-22 03:50:16] $0.00392 (proxy-deepseek-v3.2/deepseek-v3.2: 2401↑ 1360↓)
[2026-06-22 16:49:33] $0.01098 (proxy-deepseek-v3.2/deepseek-v3.2: 6009↑ 3990↓)
